Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,120,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,6.5,5.7,1,arbol,semilla,C14,,,semilla,,5.7,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,121,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,7,5.5,1,arbol,semilla,C14,,,semilla,,5.5,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,122,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,5,5.5,5.5,1,arbol,semilla,C14,,,semilla,,5.5,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,137,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,5,5.5,5.1,1,recluta,,C15,,,,,5.1,,,,,,,,,,,,
3 B,7,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,138,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,6,6,5,1,recluta,,C15,,,,,5,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,27,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,5,7,10.7,1,arbol,semilla,C0,,,semilla,,10.7,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,28,vitgau,Vitex,gaumeri,LAMIACEAE,Ya'axnik,7,7.5,13.5,6,arbol,rebrote,C0,,,rebrote,,9.2,7.7,11.6,13.5,8,7,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,53,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6,6,7.6,1,arbol,semilla,C6,,,semilla,,7.6,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,74,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,5,6,8.3,1,arbol,semilla,C9,,,semilla,,8.3,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,75,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,5,5,5.7,4,arbol,semilla,C9,,,semilla,,5.7,3.7,3.8,3.3,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,76,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,5.5,6,2,arbol,rebrote,C9,,,rebrote,,6,4.2,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,77,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,7,7.2,6.8,1,arbol,semilla,C9,,,semilla,,6.8,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,94,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,5.5,6,1,arbol,semilla,C11,,,semilla,,6,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,95,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,7,7.2,7.5,1,arbol,semilla,C11,,,semilla,,7.5,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,96,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,6,6,5.7,1,arbol,semilla,C11,,,semilla,,5.7,,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,123,lonrug,Lonchocarpus,rugosus,FABACEAE,K'anasin,5,5.5,5.1,2,arbol,rebrote,C14,,,rebrote,,5.1,3.7,,,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,124,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,6,6.2,5.7,4,arbol,rebrote,C14,,,rebrote,,5.7,2.7,4.5,4,,,,,,,,,
3 B,8,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,139,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,5,5.2,5.1,1,recluta,rebrote,C15,,,rebrote,,5.1,,,,,,,,,,,,
3 B,9,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,29,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,13.3,2,arbol,rebrote,C0,,,rebrote,,13.3,6,,,,,,,,,,,
3 B,9,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,30,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.2,8.1,1,arbol,semilla,C0,,,semilla,,8.1,,,,,,,,,,,,
